id,domain,language,query_text,translated_text,expected_match_id,generated_by
query_0015,crop,Hausa,"Shukar ta tsaya ba ta girma, amfanin gonar ma ya ragu.","The plant has stopped growing, and the harvest has also reduced.",crop_001,gemma-4-31b-it
query_0016,crop,Hausa,"Akwai wasu rawaya-rawaya a jikin ganyen, sannan ganyen yana muge.","There are some yellow patches on the leaves, and the leaves are curling.",crop_001,gemma-4-31b-it
query_0017,crop,Igbo,"Akwụkwọ cassava m nwere ntụpọ edo na ndụ, ha na-agbakwa agbaba.","My cassava leaves have yellow and green spots, and they are twisting.",crop_001,gemma-4-31b-it
query_0018,crop,Igbo,"Cassava m anaghị etolite elu, akwụkwọ ha na-agbakwa agbaba.","My cassava is not growing tall, and the leaves are twisting.",crop_001,gemma-4-31b-it
query_0019,crop,Igbo,"Akpụkpa cassava m anaghị asọpụta nke ọma, akwụkwọ ha na-acha edo na ndụ.","My cassava tubers are not producing well, and the leaves are yellow-green.",crop_001,gemma-4-31b-it
query_0020,crop,Igbo,"Lee cassava m; akwụkwọ ha na-agbaba, osisi ahụ na-anọkwa nkenke.","Look at my cassava; the leaves are twisting, and the plants are short.",crop_001,gemma-4-31b-it
query_0021,crop,Igbo,"Akwụkwọ cassava m nwere ihe na-acha edo na ndụ, ha na-atụgharị.","My cassava leaves have yellow-green marks on them, and they are curling.",crop_001,gemma-4-31b-it
query_0022,crop,Igbo,"Cassava m anaghị etolite nke ọma, akpụkpa ha na-abụkwa nkenke.","My cassava is not growing well, and the tubers are small.",crop_001,gemma-4-31b-it
query_0023,crop,Igbo,"Akwụkwọ cassava m na-atụgharị agbaba, nwee ntụpọ edo na ndụ.","My cassava leaves are twisting and turning, and there are yellow-green spots.",crop_001,gemma-4-31b-it
query_0024,crop,Igbo,"Osisi cassava m anaghị etolite, ihe m wepụta n'ala dị obere.","My cassava plants are not growing, and what I harvest from the ground is very little.",crop_001,gemma-4-31b-it
query_0025,crop,Nigerian Pidgin,My cassava leaf get yellow-yellow spots and e dey twist.,My cassava leaves have yellow spots and they are twisting.,crop_001,gemma-4-31b-it
query_0026,crop,Nigerian Pidgin,"The plant no grow well at all, and the root small.","The plant is not growing well at all, and the roots are small.",crop_001,gemma-4-31b-it
query_0027,crop,Nigerian Pidgin,I see say my cassava leaves don dey turn yellow and e dey bend anyhow.,I see that my cassava leaves are turning yellow and they are bending randomly.,crop_001,gemma-4-31b-it
query_0028,crop,Nigerian Pidgin,"Abeg help me, my cassava leaves dey yellow and the plant no grow tall.","Please help me, my cassava leaves are yellow and the plant is not growing tall.",crop_001,gemma-4-31b-it
query_0029,crop,Nigerian Pidgin,"Leaf don dey twist, and the tubers no big as e suppose be.","The leaves are twisting, and the tubers are not as big as they should be.",crop_001,gemma-4-31b-it
query_0030,crop,Nigerian Pidgin,The cassava leaf get some yellow patches and e just dey curl.,The cassava leaves have some yellow patches and they are curling.,crop_001,gemma-4-31b-it
query_0031,crop,Nigerian Pidgin,"My cassava no grow well, the leaf dey yellow-yellow and e twist.","My cassava is not growing well, the leaves are yellowish and twisted.",crop_001,gemma-4-31b-it
query_0032,crop,Nigerian Pidgin,I notice say my cassava leaf dey twist and the root no plenty.,I noticed that my cassava leaves are twisting and the roots are not plentiful.,crop_001,gemma-4-31b-it
query_0033,crop,English,"My cassava leaves get some yellow and green patches, and they are twisting. The plants are not growing as they should.","My cassava leaves have yellow and green patches, and they are twisting. The plants are not growing as they should.",crop_001,gemma-4-31b-it
query_0034,crop,English,"The cassava leaves dey twist and get yellow-green color. The plant just stay small, and the tubers no plenty.","The cassava leaves are twisting and have a yellow-green color. The plant is staying small, and the tuber yield is low.",crop_001,gemma-4-31b-it
query_0035,crop,English,I'm seeing yellow and green spots on my cassava leaves and the leaves are twisting. The growth is very slow.,I'm seeing yellow and green spots on my cassava leaves and the leaves are twisting. The growth is very slow.,crop_001,gemma-4-31b-it
query_0036,crop,English,My cassava plants are stunted and the leaves are curling up with yellow and green patches on them.,My cassava plants are stunted and the leaves are curling up with yellow and green patches on them.,crop_001,gemma-4-31b-it
query_0037,crop,English,See as my cassava leaves dey twist and change color to yellow and green. The plant no grow tall and the tubers small.,Look at how my cassava leaves are twisting and changing color to yellow and green. The plant isn't growing tall and the tubers are small.,crop_001,gemma-4-31b-it
query_0038,crop,English,The leaves of my cassava have these yellow-green patches and they're twisting. I'm worried because the plants aren't growing well.,The leaves of my cassava have these yellow-green patches and they're twisting. I'm worried because the plants aren't growing well.,crop_001,gemma-4-31b-it
query_0039,crop,English,"My cassava leaves don change color, e get yellow and green spots. The leaves dey twist and the tubers no reach.","My cassava leaves have changed color, they have yellow and green spots. The leaves are twisting and the tuber yield is insufficient.",crop_001,gemma-4-31b-it
query_0040,crop,English,My cassava leaves are twisted and have yellow-green spots. The plants are very small and the harvest is poor.,My cassava leaves are twisted and have yellow-green spots. The plants are very small and the harvest is poor.,crop_001,gemma-4-31b-it
query_0041,crop,Yoruba,Ewé cassava mi ń yẹ̀lò níbi tí ẹsín ewé wà.,My cassava leaves are turning yellow along the veins.,crop_002,gemma-4-31b-it
query_0042,crop,Yoruba,"Mo yan gbóngbò mi, mo sì rí àwòrán brown tó dudu nínú.",I dug up my tubers and saw dark brown spots inside.,crop_002,gemma-4-31b-it
query_0043,crop,Yoruba,"Àwòyẹyẹyẹ ló wà lára ewé mi, gbóngbò náà kò sì tóbi rárá.","There are yellow patches on my leaves, and the tubers are not big at all.",crop_002,gemma-4-31b-it
query_0044,crop,Yoruba,"Ẹ wo cassava mi, ewé rẹ̀ ń yẹ̀lò, gbóngbò rẹ̀ kò sì tóbi.","Look at my cassava, the leaves are turning yellow and the tubers are not large.",crop_002,gemma-4-31b-it
query_0045,crop,Yoruba,"Inú gbóngbò mi ti bàjẹ́, ó ní àwòrán brown tó dudu nínú.","The inside of my tubers is spoiled, it has dark brown spots inside.",crop_002,gemma-4-31b-it
query_0046,crop,Yoruba,"Ẹsín ewé cassava mi ń yẹ̀lò, ó sì ń tan sí i.","The veins of my cassava leaves are turning yellow, and it's spreading.",crop_002,gemma-4-31b-it
query_0047,crop,Yoruba,"Gbóngbò mi kéré gan-an, mo sì rí àwòrán brown tó dudu nínú.","My tubers are very small, and I see dark brown spots inside.",crop_002,gemma-4-31b-it
query_0048,crop,Yoruba,"Ewé cassava mi ní àwòyẹyẹyẹ yẹ̀lò, gbóngbò náà kò sì tóbi.",My cassava leaves have large yellow patches and the tubers are not big.,crop_002,gemma-4-31b-it
query_0049,crop,Hausa,"Ganyen cassava ta na da layuka rawaya, sannan tuberun ta sun kanana kuma akwai launin kasa a ciki.","My cassava leaves have yellow lines, and the tubers are small and have brown color inside.",crop_002,gemma-4-31b-it
query_0050,crop,Hausa,"Dubi ganyen nan, akwai manyan taboni rawaya. Idan na hango tuberun, ina ganin launin kasa baki a ciki.","Look at these leaves, there are large yellow patches. When I dig the tubers, I see dark brown color inside.",crop_002,gemma-4-31b-it
query_0051,crop,Hausa,Tuberun cassava ta ba sa girma sosai; sun kanana kuma akwai wani launin kasa a ciki.,My cassava tubers aren't growing much; they are small and there's some brown color inside.,crop_002,gemma-4-31b-it
query_0052,crop,Hausa,"Ina ganin layuka rawaya a jikin ganyen, sannan tuberun sun kanana kuma akwai launin kasa a ciki.","I see yellow lines on the leaves, and the tubers are small and have brown color inside.",crop_002,gemma-4-31b-it
query_0053,crop,Hausa,"Ganyen ya koma rawaya a wasu wuraren, sannan tuberun ta sun kanana sosai.","The leaves turned yellow in some places, and the tubers became very small.",crop_002,gemma-4-31b-it
query_0054,crop,Hausa,"Akwai layuka rawaya a jikin ganyen, sannan a cikin tuberun akwai launin kasa baki.","There are yellow lines on the leaves, and inside the tubers there is dark brown color.",crop_002,gemma-4-31b-it
query_0055,crop,Hausa,"Cassava ta ba ta fitar da manyan tubera, sannan ganyen yana da taboni rawaya.","My cassava didn't produce big tubers, and the leaves have yellow patches.",crop_002,gemma-4-31b-it
query_0056,crop,Hausa,"Ganyen yana da alamun rawaya a jikin jijiyoyinsa, sannan tuberun suna da tabonin launin kasa a ciki.","The leaves have yellow marks on the veins, and the tubers have brown patches inside.",crop_002,gemma-4-31b-it
query_0057,crop,Igbo,"Akwụkwọ akpụ m na-aghọ edo n'etiti, ọ na-agbasa agbasa ka ọ bụ ihe.","My cassava leaves are turning yellow in the middle, and it's spreading like something.",crop_002,gemma-4-31b-it
query_0058,crop,Igbo,"Mụ nọ mkpụrụ akpụ m, ahụrụ m ihe ojii chaacha n'ime ha.",I checked my cassava roots and saw some dark brown stuff inside them.,crop_002,gemma-4-31b-it
query_0059,crop,Igbo,"Akpụ m a anaghị eto, mkpụrụ ha obere nke ukwuu.","My cassava is not growing, the roots are very small.",crop_002,gemma-4-31b-it
query_0060,crop,Igbo,"Lee akwụkwọ akpụ m, ọ nwere ụdị edo na-agba okwu, mkpụrụ ya akwa abụọkwa obere.","Look at my cassava leaves, they have yellow lines, and the roots are also small.",crop_002,gemma-4-31b-it
query_0061,crop,Igbo,Akwụkwọ akpụ m na-enwe nnukwu ihe edo edo na-egbu egbu.,My cassava leaves are getting large yellow patches that look dead.,crop_002,gemma-4-31b-it
query_0062,crop,Igbo,"Mgbe m gụrụ akpụ m, ahụrụ m ihe chaacha na-enye nsogbu n'ime mkpụrụ ahụ.","When I harvested my cassava, I saw brown areas causing trouble inside the roots.",crop_002,gemma-4-31b-it
query_0063,crop,Igbo,"Akwụkwọ akpụ m na-acha edo n'ụzọ okwu, mkpụrụ ya akwa abụọkwa nwere ihe ojii n'ime.","My cassava leaves are yellowing along the veins, and the roots also have brown things inside.",crop_002,gemma-4-31b-it
query_0064,crop,Igbo,"Akpụ m anaghị eto nke ọma, akwụkwọ ya na-aghọ edo.","My cassava isn't growing well, the leaves are turning yellow.",crop_002,gemma-4-31b-it
query_0065,crop,Nigerian Pidgin,"My cassava leaves dey get yellow lines, and when I dig the root, I see dark brown spots inside.","My cassava leaves have yellow lines, and when I dig up the root, I see dark brown spots inside.",crop_002,gemma-4-31b-it
query_0066,crop,Nigerian Pidgin,"The cassava roots small pass as e suppose be, and the leaves don get big yellow patches.","The cassava roots are smaller than they should be, and the leaves have developed large yellow patches.",crop_002,gemma-4-31b-it
query_0067,crop,Nigerian Pidgin,"Abeg look this cassava, the leaves dey turn yellow for the veins and the roots no grow big at all.","Please look at this cassava, the leaves are turning yellow along the veins and the roots aren't growing big at all.",crop_002,gemma-4-31b-it
query_0068,crop,Nigerian Pidgin,"I open one cassava root, I see dark brown things inside, and the leaves get yellow lines.","I opened a cassava root and saw dark brown areas inside, and the leaves have yellow lines.",crop_002,gemma-4-31b-it
query_0069,crop,Nigerian Pidgin,"The leaves of my cassava get yellow patches, and the roots small with brown spots inside.","The leaves of my cassava have yellow patches, and the roots are small with brown spots inside.",crop_002,gemma-4-31b-it
query_0070,crop,Nigerian Pidgin,"My cassava leaf get yellow veins and the root small, plus I see brown marks inside.","My cassava leaves have yellow veins and the roots are small, plus I see brown marks inside.",crop_002,gemma-4-31b-it
query_0071,crop,Nigerian Pidgin,"Those yellow lines for the leaves don turn big yellow patches, and the roots no grow well, they get brown spots.","Those yellow lines on the leaves have turned into big yellow patches, and the roots didn't grow well; they have brown spots.",crop_002,gemma-4-31b-it
query_0072,crop,Nigerian Pidgin,Cassava roots no big and e get brown areas inside; leaf also dey yellow for vein.,The cassava roots aren't big and they have brown areas inside; the leaves are also yellow along the veins.,crop_002,gemma-4-31b-it
query_0073,crop,English,"My cassava leaves are turning yellow along the veins, and the roots are very small with brown spots inside.","My cassava leaves are turning yellow along the veins, and the roots are very small with brown spots inside.",crop_002,gemma-4-31b-it
query_0074,crop,English,"I dey see yellow lines for the veins of my cassava leaves, and some parts just turn yellow patch.","I am seeing yellow lines on the veins of my cassava leaves, and some parts have turned into yellow patches.",crop_002,gemma-4-31b-it
query_0075,crop,English,"When I dig my cassava, the roots small and I dey see dark brown marks inside them.","When I harvest my cassava, the roots are small and I see dark brown marks inside them.",crop_002,gemma-4-31b-it
query_0076,crop,English,"The leaves have yellow stripes and the tubers are not growing big, plus they have brown areas inside.","The leaves have yellow stripes and the tubers are not growing big, plus they have brown areas inside.",crop_002,gemma-4-31b-it
query_0077,crop,English,"My cassava leaf get yellow lines, and the roots small well-well with brown spots for inside.","My cassava leaves have yellow lines, and the roots are very small with brown spots inside.",crop_002,gemma-4-31b-it
query_0078,crop,English,"I noticed some large yellow patches on my leaves and when I harvested a few, the roots were small and had brown areas inside.","I noticed some large yellow patches on my leaves and when I harvested a few, the roots were small and had brown areas inside.",crop_002,gemma-4-31b-it
query_0079,crop,English,"The vein for my cassava leaf dey yellow, and the roots small with brown marks inside.","The veins of my cassava leaves are yellow, and the roots are small with brown marks inside.",crop_002,gemma-4-31b-it
query_0080,crop,English,"Some yellow lines dey appear for the leaf veins, and e don start to form big yellow patches. The roots self small and get brown things inside.","Some yellow lines are appearing on the leaf veins, and it has started to form big yellow patches. The roots themselves are small and have brown spots inside.",crop_002,gemma-4-31b-it
query_0081,crop,Yoruba,"Àgbàdo mi ní àwọn àmì pupa lórí ewé, ní òkè àti ìsàlẹ̀.","My maize has red spots on the leaves, on the top and the bottom.",crop_003,gemma-4-31b-it
query_0082,crop,Yoruba,Mo rí bí erú pupa ṣe ń jáde látinú àwọn ìbọ̀ tí ó wà lórí ewé àgbàdo mi.,I see red powder coming out of the pustules on my maize leaves.,crop_003,gemma-4-31b-it
query_0083,crop,Yoruba,"Ewé àgbàdo mi ń yí padà sí àwọ̀ yèlò tí ó sì ń gbẹ, mo sì rí àwọn àmì brown lórí wọn.","My maize leaves are turning yellow and drying up, and I see brown spots on them.",crop_003,gemma-4-31b-it
query_0084,crop,Yoruba,"Àwọn ìbú pupa kékeré ń jáde lórí ewé, wọ́n á sì fọ́, erú pupa á sì jáde.","Small red bumps are appearing on the leaves, then they burst and red powder comes out.",crop_003,gemma-4-31b-it
query_0085,crop,Yoruba,"Mo wo ewé àgbàdo mi, àwọn àmì pupa-brown wà lórí wọn, ní iwájú àti ìyìn.","I looked at my maize leaves, there are reddish-brown spots on them, in front and behind.",crop_003,gemma-4-31b-it
query_0086,crop,Yoruba,"Àgbàdo mi ń gbẹ, àwọn àmì pupa àti yèlò sì kún ewé wọn.","My maize is drying up, and reddish and yellow spots are all over the leaves.",crop_003,gemma-4-31b-it
query_0087,crop,Yoruba,"Tí mo bá fọwọ́ kan àwọn àmì brown lórí ewé àgbàdo mi, erú pupa á jáde.","When I touch the brown spots on my maize leaves, red powder comes off.",crop_003,gemma-4-31b-it
query_0088,crop,Yoruba,"Àkọ́kọ́, àwọn àmì pupa jáde, nísinsìnyí ewé àgbàdo mi ń yí padà sí yèlò tí ó sì ń kú.","First, red spots appeared, now my maize leaves are turning yellow and dying.",crop_003,gemma-4-31b-it
query_0089,crop,Hausa,"Ganyen masarhiyata yana da wasu kananan digo-digo masu launin ja a saman ganyen da a kasa, kuma akwai wani garin ja a kai.","My maize leaves have some small red spots on the top and bottom, and there is some red powder on them.",crop_003,gemma-4-31b-it
query_0090,crop,Hausa,"Ganyen masarhiyar tana komawa rawaya tana bushewa, sannan ina ganin wasu kuraje masu launin ja-ruwan kasa a jikinsu.","The maize leaves are turning yellow and drying up, and I see some reddish-brown bumps on them.",crop_003,gemma-4-31b-it
query_0091,crop,Hausa,"Akwai wasu digo-digo masu garin ja a jikin ganyen masarhiyata, ganyen kuma yana mutuwa.","There are some spots with red powder on my maize leaves, and the leaves are dying.",crop_003,gemma-4-31b-it
query_0092,crop,Hausa,"Na lura da kananan digo-digo masu launin ja a gefen ganyen masarhiyar, kuma kamar suna fashewa suna fitar da wani kura mai launin ja.","I noticed small red spots on the sides of the maize leaves, and it's like they are bursting and releasing some red dust.",crop_003,gemma-4-31b-it
query_0093,crop,Hausa,"Ganyen masarhiyar tana komawa rawaya, kuma akwai digo-digo masu launin ruwan kasa da ja a ko'ina.","The maize leaves are turning yellow, and there are brown-red spots everywhere.",crop_003,gemma-4-31b-it
query_0094,crop,Hausa,"Ganyen masarhiyar tana da digo-digo masu ja, idan ka taba su sai wani garin ja ya fito, yanzu kuma ganyen ya koma rawaya.","The maize leaves have red spots, if you touch them some red powder comes out, and now the leaves have turned yellow.",crop_003,gemma-4-31b-it
query_0095,crop,Hausa,"Akwai wasu kuraje masu launin ruwan kasa da ja a saman ganyen da a kasa, kuma shukokin suna bushewa.","There are some brown-red bumps on the top and bottom of the leaves, and the plants are drying up.",crop_003,gemma-4-31b-it
query_0096,crop,Hausa,"Ganyen tana komawa rawaya, sannan ina ganin garin ja yana fitowa daga wasu kananan digo-digo a jikinsu.","The leaves are turning yellow, and I see red powder coming out of some small spots on them.",crop_003,gemma-4-31b-it
query_0097,crop,Igbo,"Aku ruu m nwere obere ntụpọ uhie na akwụkwọ ya, n'elu na n'ala.","My maize has small red spots on its leaves, on the top and bottom.",crop_003,gemma-4-31b-it
query_0098,crop,Igbo,Anọ m hụ ụmụ powder uhie na-apụta n'ime ntụpọ ndị dị na akwụkwọ korn m.,I see red powder coming out of the spots on my corn leaves.,crop_003,gemma-4-31b-it
query_0099,crop,Igbo,"Akwụkwọ korn m na-aghọ ya yellow, ha na-anwụ, anya m hụrụ ntụpọ uhie n'elu ha.","My corn leaves are turning yellow and drying up, and I see red spots on them.",crop_003,gemma-4-31b-it
query_0100,crop,Igbo,"Enwere ntụpọ uhie na-acha brown na akwụkwọ korn m, ha na-apụta n'elu na n'ala.","There are reddish-brown spots on my corn leaves, they appear on the top and bottom.",crop_003,gemma-4-31b-it
query_0101,crop,Igbo,"Ntụpọ ndị dị na akwụkwọ korn m na-agbawa, ha na-atụputa powder uhie.",The spots on my corn leaves are bursting and releasing red powder.,crop_003,gemma-4-31b-it
query_0102,crop,Igbo,"Akwụkwọ korn m na-acha yellow ma na-anwụ, enwere ntụpọ uhie na ha.","My corn leaves are turning yellow and dying, there are red spots on them.",crop_003,gemma-4-31b-it
query_0103,crop,Igbo,Anọ m hụ ntụpọ uhie na-acha brown n'elu na n'ala akwụkwọ korn m.,I see reddish-brown spots on the top and bottom of my corn leaves.,crop_003,gemma-4-31b-it
query_0104,crop,Igbo,"Akwụkwọ korn m nwere ntụpọ uhie na-atụputa powder, ugbu a ha na-aghọ ya yellow.","My corn leaves have red spots releasing powder, and now they are turning yellow.",crop_003,gemma-4-31b-it
query_0105,crop,Nigerian Pidgin,My maize leaves get some small reddish-brown spots wey be like powder. The leaves dey turn yellow.,My maize leaves have some small reddish-brown spots that look like powder. The leaves are turning yellow.,crop_003,gemma-4-31b-it
query_0106,crop,Nigerian Pidgin,"I see some red-red bumps for the top and bottom of my corn leaf. If I touch am, red powder dey come out.","I see some reddish bumps on the top and bottom of my corn leaf. If I touch them, red powder comes out.",crop_003,gemma-4-31b-it
query_0107,crop,Nigerian Pidgin,"My corn leaves don dey yellow, and some reddish spots dey grow for inside. E be like say the spots dey burst powder.","My corn leaves are turning yellow, and some reddish spots are growing on them. It seems like the spots are bursting into powder.",crop_003,gemma-4-31b-it
query_0108,crop,Nigerian Pidgin,"See some red powder spots for my maize leaves, and now the leaves dey die.","There are some red powder spots on my maize leaves, and now the leaves are dying.",crop_003,gemma-4-31b-it
query_0109,crop,Nigerian Pidgin,The red spots dey for the front and back of my maize leaf. The leaf just dey turn yellow.,The red spots are on the front and back of my maize leaf. The leaf is just turning yellow.,crop_003,gemma-4-31b-it
query_0110,crop,Nigerian Pidgin,I notice say some brown-reddish powder dey come out from small bumps for my maize leaves.,I noticed that some brown-reddish powder is coming out from small bumps on my maize leaves.,crop_003,gemma-4-31b-it
query_0111,crop,Nigerian Pidgin,"First I see small red spots for my corn leaf, now the leaves don dey turn yellow and die.","First I saw small red spots on my corn leaf, now the leaves are turning yellow and dying.",crop_003,gemma-4-31b-it
query_0112,crop,Nigerian Pidgin,"My maize leaves get some reddish blisters wey dey release powder, and the leaves don dey dry.","My maize leaves have some reddish blisters that are releasing powder, and the leaves are drying up.",crop_003,gemma-4-31b-it
query_0113,crop,English,"I'm seeing small reddish-brown spots on both sides of my maize leaves, and they're starting to turn yellow.","I'm seeing small reddish-brown spots on both sides of my maize leaves, and they're starting to turn yellow.",crop_003,gemma-4-31b-it
query_0114,crop,English,"My corn leaves get some small reddish-brown bumps on top and bottom. If I touch them, red powder dey come out.","My corn leaves have some small reddish-brown bumps on the top and bottom. If I touch them, red powder comes out.",crop_003,gemma-4-31b-it
query_0115,crop,English,"The leaves of my maize are getting these oval brown spots. They are breaking open and leaving red powder everywhere, then the leaf just dries up.","The leaves of my maize are getting these oval brown spots. They are breaking open and leaving red powder everywhere, then the leaf just dries up.",crop_003,gemma-4-31b-it
query_0116,crop,English,I see red-brown spots for my maize leaves. The leaf don dey turn yellow and some areas dey dry.,I see red-brown spots on my maize leaves. The leaves are turning yellow and some areas are drying up.,crop_003,gemma-4-31b-it
query_0117,crop,English,"There are these brownish-red pimples on the top and bottom of the leaves. When they burst, a red powder comes out and the leaf starts dying.","There are these brownish-red pimples on the top and bottom of the leaves. When they burst, a red powder comes out and the leaf starts dying.",crop_003,gemma-4-31b-it
query_0118,crop,English,"Something dey happen to my maize. Small red-brown spots dey appear on the leaves, and now the leaves dey turn yellow.","Something is happening to my maize. Small red-brown spots are appearing on the leaves, and now the leaves are turning yellow.",crop_003,gemma-4-31b-it
query_0119,crop,English,"My maize leaves have reddish spots on both sides. They look like little bubbles that pop and leave red powder, and now the leaves are turning yellow and dying.","My maize leaves have reddish spots on both sides. They look like little bubbles that pop and leave red powder, and now the leaves are turning yellow and dying.",crop_003,gemma-4-31b-it
query_0120,crop,English,I notice some reddish-brown powder on my corn leaves. The spots dey rupture and the leaves just dey turn yellow and die.,I noticed some reddish-brown powder on my corn leaves. The spots are rupturing and the leaves are just turning yellow and dying.,crop_003,gemma-4-31b-it
query_0121,crop,Yoruba,"Ewe agbado mi n pon, won o si dagba rara.","My maize leaves are turning yellow, and they aren't growing at all.",crop_004,gemma-4-31b-it
query_0122,crop,Yoruba,"Agbado mi n ku ki o to dagba, ko si eso kankan.","My maize is dying before it matures, there are no cobs at all.",crop_004,gemma-4-31b-it
query_0123,crop,Yoruba,"Wo ewe won, awon n ni ami-ami, won si duro sinu igba.","Look at the leaves, they have spots, and they are stunted.",crop_004,gemma-4-31b-it
query_0124,crop,Yoruba,"Ewe won n pon, won si ni ami-ami, ko si kernel kankan ninu won.","The leaves are yellowing and have mottling, there are no kernels in them.",crop_004,gemma-4-31b-it
query_0125,crop,Yoruba,"Awon agbado mi n gbẹ kun, won o si dagba to.","My maize plants are drying up, and they didn't grow enough.",crop_004,gemma-4-31b-it
query_0126,crop,Yoruba,"Nkan buruku n sele, ewe won ni ami-ami, won si kọ lati dagba.","Something is wrong, the leaves have mottling, and they refuse to grow.",crop_004,gemma-4-31b-it
query_0127,crop,Yoruba,"Agbado mi o dagba, mi o si ri eso kankan lori won.","My maize isn't growing, and I don't see any ears on them.",crop_004,gemma-4-31b-it
query_0128,crop,Yoruba,"Ewe won n pon, gbogbo rẹ̀ sì ń kú kí ó tó yọkùtù.","The leaves are yellowing, and the whole thing is dying before it can produce ears.",crop_004,gemma-4-31b-it
query_0129,crop,Hausa,"Ganyen masarata na yin rawaya, kuma shukunar ba ta girma sosai.","My maize leaves are turning yellow, and the plants aren't growing much.",crop_004,gemma-4-31b-it
query_0130,crop,Hausa,"Masarata tana busawa da wuri, kuma ba ta fitar da kwali.","My maize is drying up early, and it's not producing ears.",crop_004,gemma-4-31b-it
query_0131,crop,Hausa,"Ina ganin wasu wakar-wakar rawaya a jikin ganyen, sannan shukunar ta tsaya a kasa ba ta yi tsawo.","I see some yellow mottling on the leaves, and the plants have stopped growing, they aren't tall.",crop_004,gemma-4-31b-it
query_0132,crop,Hausa,"Ganyen ya koma rawaya, shukunar ba ta girma, sannan tana mutuwa tun tana karama.","The leaves have turned yellow, the plants aren't growing, and they are dying while still young.",crop_004,gemma-4-31b-it
